RTX 3080 Partition Camping (No L1/L2 Cache)
Data: 32 MB

Linear (no cache): 761.54 GB/s

Partition(MB) | Bandwidth(GB/s) | vs Linear | Status
56.25         | 746.76          | 0.98      | OK
56.50         | 747.10          | 0.98      | OK
56.75         | 746.41          | 0.98      | OK
57.00         | 746.25          | 0.98      | OK
57.25         | 747.45          | 0.98      | OK
57.50         | 746.93          | 0.98      | OK
57.75         | 747.27          | 0.98      | OK
58.00         | 747.27          | 0.98      | OK
58.25         | 746.79          | 0.98      | OK
58.50         | 746.59          | 0.98      | OK
58.75         | 746.08          | 0.98      | OK
59.00         | 746.25          | 0.98      | OK
59.25         | 746.95          | 0.98      | OK
59.50         | 746.73          | 0.98      | OK
59.75         | 747.10          | 0.98      | OK
60.00         | 747.27          | 0.98      | OK
60.25         | 747.79          | 0.98      | OK
60.50         | 747.45          | 0.98      | OK
60.75         | 746.42          | 0.98      | OK
61.00         | 746.08          | 0.98      | OK
61.25         | 746.76          | 0.98      | OK
61.50         | 746.76          | 0.98      | OK
61.75         | 746.76          | 0.98      | OK
62.00         | 747.27          | 0.98      | OK
62.25         | 746.93          | 0.98      | OK
62.50         | 747.27          | 0.98      | OK
62.75         | 747.27          | 0.98      | OK
63.00         | 747.67          | 0.98      | OK
63.25         | 747.08          | 0.98      | OK
63.50         | 746.59          | 0.98      | OK
63.75         | 746.76          | 0.98      | OK
64.00         | 746.42          | 0.98      | OK

Note: Bandwidth calculated by actual DRAM bytes transferred
      (partition_size * 2 for read+write)
